Year,Qtr,Home Price Index,Data Source,Nominal Median,CPI,CPI %_,Inflation measure,Real HPI Growth,Real HPI,Real Home Price,Rent Index,Adjusted HPI,Adjusted Rent Index,,,,,,,,,,,
2010,Q1,132.08,S&P/Case-Shiller national HPI,"$181,176",319.467,0.314%,CPI-U Research Series,-3.189%,139.82,"$191,798",256.483,143.440,134.074,,,,,,,,,,,
2010,Q2,138.28,S&P/Case-Shiller national HPI,"$189,680",319.033,-0.136%,CPI-U Research Series,4.830%,146.58,"$201,061",256.163,150.174,133.906,,,,,,,,,,,
2010,Q3,135.61,S&P/Case-Shiller national HPI,"$186,018",320.167,0.355%,CPI-U Research Series,-2.286%,143.23,"$196,465",256.509,147.274,134.087,,,,,,,,,,,
2010,Q4,130.89,S&P/Case-Shiller national HPI,"$179,543",322.400,0.698%,CPI-U Research Series,-4.178%,137.24,"$188,256",257.202,142.148,134.450,,,,,,,,,,,
2011,Q1,125.62,S&P/Case-Shiller national HPI,"$172,314",326.133,1.158%,CPI-U Research Series,-5.184%,130.13,"$178,497",258.073,136.425,134.905,,,,,,,,,,,
2011,Q2,130.78,S&P/Case-Shiller national HPI,"$179,392",329.700,1.094%,CPI-U Research Series,3.014%,134.05,"$183,877",258.587,142.029,135.174,,,,,,,,,,,
2011,Q3,130.90,S&P/Case-Shiller national HPI,"$179,557",332.233,0.768%,CPI-U Research Series,-0.677%,133.14,"$182,633",260.178,142.159,136.005,,,,,,,,,,,
2011,Q4,125.99,S&P/Case-Shiller national HPI,"$172,822",333.333,0.331%,CPI-U Research Series,-4.082%,127.71,"$175,177",261.503,136.827,136.698,,,,,,,,,,,
2012,Q1,124.01,S&P/Case-Shiller national HPI,"$170,106",335.367,0.610%,CPI-U Research Series,-2.182%,124.92,"$171,356",262.812,134.676,137.382,,,,,,,,,,,
2012,Q2,132.81,S&P/Case-Shiller national HPI,"$182,177",335.967,0.179%,CPI-U Research Series,6.917%,133.56,"$183,209",264.012,144.233,138.009,,,,,,,,,,,
2012,Q3,135.67,S&P/Case-Shiller national HPI,"$186,100",337.900,0.575%,CPI-U Research Series,1.578%,135.67,"$186,100",265.422,147.339,138.746,,,,,,,,,,,
2012,Q4,,S&P/Case-Shiller national HPI,,339.800,0.562%,CPI-U Research Series,,,,267.099,,,,,,,,,,,,,
